"","Date","Username","Located","Rating","Review"
"1","6/30/2022","Shannon H.","Kent, OH",5,"Ray's is Ray's, hasn't changed too much, yet still seems to update with the times. Good quality bar food and great beer selection."
"2","11/4/2021","Jacqueline P.","Beachwood, OH",4,"This busy busy place is loud and bustling with folks! I wasn't comfortable because barely a mask was on and we were a foot away from strangers in the midst of COVID so I kept my mask on most of the time, but we enjoyed our food.Nothing much is low cal or a healthy option but what BBQ place is going to be!The ribs were fall off the bone tender, the onion rings were big and crispy, the fries were french (LOL) , the shredded pork was piled high with 2 sauces and the meatball parmesan was saucy and cheesy!Overall, a great smoky smelling spot for KSU families!"
"3","3/27/2022","Ashley M.","Cleveland, OH",4,"I've been coming to Ray's place since college. It's always a good time and I always know what to expect.  It's a Kent classic! There's a good mix of college kids and older adults. They ID at the door of course. There's a bunch of tables and booths inside - they easily accommodate bigger groups! There's also a bar inside as well. The bathrooms are also typically clean and well stocked, which is better than a lot of other bars in the area! The biggest thing they're known here for are Long Jsland Iced Teas - it's like their classic. They're $4.50 a glass. I'm a big beer drinker and they have a pretty extensive draft list, with a ton of local breweries, which is really great. If it's your birthday, they they have a fun wheel that you can spin for a free shot :) it's super fun. As for the food, it's pretty good! It's a lot of bar food fare, like sandwiches, burgers. onion rings, fries, etc. I'm never disappointed here, got onion rings the other night and it was pretty solid! My friend had a Reuben and really enjoyed it as well. As for parking, there's street parking available as well as public free lots nearby. I would highly recommend coming to ray's place to meet some friends, I always have a good time!!"
"4","6/14/2021","George R.","Indianapolis, IN",5,"Been going here since I was a kid. All of the specials are immaculate works of art. The chili is legendary and the same for decades and decades. The meatloaf is amazing. Burgers destroy the competition elsewhere. Belgian style fries are as good today as they were over forty years ago.Skip the hype elsewhere in town and give these people your money."
"5","11/26/2021","Alicia S.","OH, OH",5,"I've been eating (and drinking) at Ray's for decades now, and I can't believe it's taken me this long to leave a review. The food here is absolutely excellent. Of course, you're getting bar food (e.g. sandwiches, wings, fried food, etc.), but the quality is better than any around. We've even had our shop's Christmas party here upstairs (pre-pandemic), and they did a bang up job with a large group.This is a Kent staple and a must visit.Pro Tip: Order something that comes off of the smoker (e.g. wings, pastrami, bbq). Yes, they have one and smoke daily. You won't regret it!"
"6","5/4/2022","Dionne M.","Akron, OH",5,"The best burger ever! I was kind of bummed out because Sunday they wouldn't take any carry out orders. They said it was too busy for pick up orders which seemed strange to me, to turn down business because I didn't want to dine in?? Most places will take the order and caution that it's going to be an hour or so before it's busy. But anywho by the next day I had forgiven them and placed a take out order for the mo fo burger and fries. I'm so glad I did because it was GREAT!"
"7","7/21/2021","Laura C.","Shenandoah, Miami, FL",5,"We went for dinner and it was worth the wait time! By the time that we were seated, we knew what we wanted and ordered right away. My son ordered the ribs with fries, my daughter ordered the pulled pork sandwich with fries, my husband and I both ordered the blue cheese burger with fries. All of the food was delicious with great flavors! For dessert we ordered the key lime pie and my son and daughter shared it and said that it was good. I'd definitely recommend this place for lunch or dinner!"
"8","4/29/2021","Tiffany L.","Hudson, OH",4,"There are a lot of things I like about this place. I like how there is an upstairs and downstairs! It has a rustic aesthetic and I love the drinks. A bit on the pricier side, along with the food. I ordered the stir fry with shrimp which came to about $15. It was super good! And I had leftovers the next day. There were a couple other things I want to try. My only complaint is I wish there were more vegan or seafood options. This place is one of my favorites to go to in Kent. I like going upstairs with a friend!"
"9","4/30/2021","Kristen P.","Canton, OH",5,"I have been going to Rays Place since the 90's when I was a college student. I have watched it evolve from a simple town bar with good food to a fantastic all around restaurant. They have a great selection of alcohol and the menu is a perfect mix of bar type food and great meals. I have to admit my favorite has always been the max the knife sandwich and you can't say no to their fresh cut French fries. Also, it's pretty famous. If you ever find yourself in Kent, Ohio, you must stop in to say hello and have a few pints. Don't forget to pick up a t-shirt, you'd be amazed how wide you can travel the world and have people ask you about it!"
"10","6/19/2022","Brandon M.","Kent, OH",5,"Fast, friendly, and efficient.  Love all their beer and food. Mofo with poutine fries,  OUTSTANDING!!"
"11","7/24/2022","Shelby F.","Columbia Station, OH",5,"I don't know why I haven't gone to Ray's sooner! Love the food and the amazing selection of beers and other drinks. Staff is always friendly! They also offer DORA drinks which is super nice too for when you are waiting to be sat."
"12","9/10/2022","Benjamin B.","Hudson, OH",5,"Great beer selection, good food, but most importantly, best bathrooms in downtown Kent"
"13","9/8/2022","Tonya A.","OH, OH",5,"Good food and good atmosphere!  Good size portions,  clean tables and booths .. love to visit again"
"14","2/13/2022","Riya D.","Akron, OH",3,"I've only been to rays for the drinks which are absolutely amazing! Definitely suggest the Long Island iced tea! But the food was absolutely awful! I got the atomic burger which was super bland. Also the fries were super overdone and I ended the night feeling sick for hours! Definitely will stick to just drinks!"
"15","11/14/2021","Veronica B.","Youngstown, OH",4,"Just a regular ol' bar. Sports on the TV and decent music playing. VERY friendly bartenders. Menu is normal bar food with a twist, they have things like hummus, stir fry, and dumplings. My favorite thing on the menu is the smoked wings. I get them hot every time (and you HAVE to get them smoked) They're a Ray's Place favorite and for sure a go-to of mine. They taste absolutely spectacular and the meat just falls right off the bone Everything else on the menu is average, not much more to say."
"16","10/16/2019","Adam R.","Stow, OH",4,"As a bar, it's 5 stars. Ray's is quintessential Kent. Great classic atmosphere, always good service, open late. If you've never been to Kent, it's a must stop for a drink.I'm at about 3 stars for the food. I've eaten here a lot, because it's where everyone always wants to go, but it's incredibly hit or miss for me. I'm usually more excited to drink here than eat. The good: The smoked pastrami sandwiches are a must try, loads of smoky flavor. The mussels appetizer is top notch, way better than you'd expect from pub food. If you get the pulled pork sandwich, they give you a heaping pile of meat. I got a gourmet burger once and thought it was really tasty. The fried pickles and the sauce that come with them are great. I've also always enjoyed the garlic finger wrap. The bad: I hate wasting food, but I don't think I even finished the meatloaf. It's a savory (gravy) rather than sweet (ketchup/ bbq) meatloaf, and tasted like something out of a TV dinner. Maybe it was just that day, and was made a few days before and just re-heated, but not good that particular time. My wife ordered a burger yesterday. They never asked how she wanted it cooked, and it came out with hockey puck consistency, and taste. People love the wings, but I've had bad luck. They were fatty and rubbery when I tried them. The weird: The fries. Sandwiches don't come with fries, you have to order them separately, which is fine. But a single order is $4.75, and it comes in a basket that serves like 4 people. That's great if you want to share, but if you're just a person that wants some side fries, it's expensive and excessive. If you get a $6 basket, I'd imagine it feeds 10-12 people, I'm joking, sort of. The jerk fries are great and have a good kick. The suns stix (sweet potato) are good when cooked normally, but I've had them either totally burnt or underdone enough times to avoid them."
"17","11/18/2021","Art P.","Bay Village, OH",4,"Classic bar in Kent. Great beer selection. The food is ok. Worth a visit in Kent as a classic place."
"18","9/26/2021","Ann F.","Avon, OH",5,"We planned a very casual class reunion here.  Charlie, the manager, was extremely responsive and helpful. Everyone had a great time, and we loved ""coming home""again!"
"19","2/22/2022","Mary T.","Cleveland, OH",5,"A staple for Kent State Students! Amazing burgers, apps, and drinks for a good price. 1000% recommend."
"20","12/20/2021","J. Edward H.","Erie, PA",5,"My wife and I always go here when in town. We live n Louisiana. Best burgers around in Kent."
"21","3/2/2022","Alex H.","Edinboro, PA",5,"Had a Rueben on the recommendation of a friend and was very impressed.   Nice local establishment with quality food."
"22","8/22/2021","Shooter M.","Youngstown, OH",4,"I'm not a five star reviewer, but this place gets a 4.5 from me. Great food. Exceptional service. Would highly recommend this place to anyone dropping their kids off at KSU!"
"23","12/20/2021","Sarah E.","OH, OH",5,"We absolutely love Ray's. Probably the best burger in town( with the works)  we sometimes change it up but usually we just get their burger and onion rings and their  employees are amazing and great with friendly service....  love it - we enjoy our time there."
"24","5/18/2022","Jessica P.","Akron, OH",5,"The best Long Island you'll ever get is here! Their  food is great as well.  Always will go for a burger or the quesadillas! Highly recommend if you're wanting to drink and eat. The atmosphere and staff are always great and friendly"
